aggregation,malicious_fraction,seed,round,loss,lr,val_accuracy,val_macro_f1,val_asr
trust,0.0,43,8,0.6149,0.000189,0.8071,0.6297,
trust,0.0,43,9,0.5954,0.000183,0.8092,0.6192,
trust,0.0,43,10,0.5696,0.000176,0.8113,0.6324,
trust,0.0,43,11,0.556,0.000168,0.8211,0.6425,
trust,0.0,43,12,0.5417,0.000159,0.8176,0.6291,
trust,0.0,43,13,0.5223,0.000149,0.8141,0.6389,
trust,0.0,43,14,0.5112,0.000139,0.8169,0.6499,
trust,0.0,43,15,0.5022,0.000128,0.812,0.6425,
trust,0.0,43,16,0.4929,0.000116,0.812,0.6426,
trust,0.0,43,17,0.4851,0.000105,0.8176,0.6441,
trust,0.0,43,18,0.4705,9.35e-05,0.8162,0.6451,
trust,0.0,43,19,0.4612,8.23e-05,0.8134,0.6543,
trust,0.0,43,20,0.4497,7.13e-05,0.8176,0.6391,
trust,0.0,43,21,0.4474,6.09e-05,0.8141,0.6278,
trust,0.0,43,22,0.4378,5.1e-05,0.8141,0.6421,
trust,0.0,43,23,0.43,4.2e-05,0.8134,0.661,
trust,0.0,43,24,0.4226,3.39e-05,0.8092,0.6242,
trust,0.0,43,25,0.4197,2.68e-05,0.8134,0.6437,
trust,0.0,43,26,0.4242,2.09e-05,0.8169,0.651,
trust,0.0,43,27,0.4186,1.62e-05,0.8127,0.6408,
trust,0.0,43,28,0.4197,1.28e-05,0.8148,0.6472,
trust,0.0,43,29,0.4175,1.07e-05,0.8155,0.6496,
trust,0.0,43,30,0.4218,1e-05,0.8155,0.6444,
fedavg,0.2,43,1,0.9061,6.67e-05,0.6897,0.166,0.7194
fedavg,0.2,43,2,0.7955,0.000133,0.7268,0.3277,0.5935
fedavg,0.2,43,3,0.7423,0.0002,0.7526,0.3857,0.4892
fedavg,0.2,43,4,0.691,0.0002,0.7603,0.4507,0.5072
fedavg,0.2,43,5,0.6545,0.000199,0.7764,0.4872,0.4712
fedavg,0.2,43,6,0.6258,0.000197,0.7848,0.5118,0.4173
fedavg,0.2,43,7,0.607,0.000194,0.7792,0.5242,0.536
fedavg,0.2,43,8,0.5808,0.000189,0.7994,0.5877,0.3921
fedavg,0.2,43,9,0.5618,0.000183,0.7959,0.5731,0.4245
fedavg,0.2,43,10,0.5389,0.000176,0.8001,0.5758,0.4245
fedavg,0.2,43,11,0.5299,0.000168,0.8022,0.5799,0.3885
fedavg,0.2,43,12,0.518,0.000159,0.8008,0.5821,0.4173
fedavg,0.2,43,13,0.4972,0.000149,0.8078,0.6048,0.3525
fedavg,0.2,43,14,0.4896,0.000139,0.8029,0.6009,0.4209
fedavg,0.2,43,15,0.4809,0.000128,0.8043,0.5938,0.4353
fedavg,0.2,43,16,0.4704,0.000116,0.8036,0.5874,0.3921
fedavg,0.2,43,17,0.4635,0.000105,0.8001,0.6038,0.4388
fedavg,0.2,43,18,0.452,9.35e-05,0.8015,0.5987,0.4173
fedavg,0.2,43,19,0.4441,8.23e-05,0.8078,0.6193,0.3993
fedavg,0.2,43,20,0.4335,7.13e-05,0.8064,0.6142,0.4101
fedavg,0.2,43,21,0.4329,6.09e-05,0.8008,0.6011,0.4568
fedavg,0.2,43,22,0.4249,5.1e-05,0.8001,0.5977,0.4317
fedavg,0.2,43,23,0.4165,4.2e-05,0.8057,0.6116,0.4065
fedavg,0.2,43,24,0.4143,3.39e-05,0.8036,0.6102,0.4424
fedavg,0.2,43,25,0.4095,2.68e-05,0.8022,0.6085,0.4424
fedavg,0.2,43,26,0.4153,2.09e-05,0.8092,0.6235,0.3993
fedavg,0.2,43,27,0.4101,1.62e-05,0.805,0.6129,0.4137
fedavg,0.2,43,28,0.4163,1.28e-05,0.8064,0.6161,0.4065
fedavg,0.2,43,29,0.4127,1.07e-05,0.8064,0.6199,0.3957
fedavg,0.2,43,30,0.4176,1e-05,0.8064,0.6198,0.4245
trust,0.2,43,1,0.9061,6.67e-05,0.7163,0.2898,0.4712
trust,0.2,43,2,0.7917,0.000133,0.7456,0.4346,0.2626
trust,0.2,43,3,0.7385,0.0002,0.7813,0.5116,0.2338
trust,0.2,43,4,0.6867,0.0002,0.7806,0.5298,0.2914
trust,0.2,43,5,0.6498,0.000199,0.7973,0.5827,0.295
trust,0.2,43,6,0.6219,0.000197,0.8064,0.6067,0.2446
trust,0.2,43,7,0.6001,0.000194,0.8036,0.5919,0.3633
trust,0.2,43,8,0.575,0.000189,0.8113,0.6199,0.241
trust,0.2,43,9,0.5574,0.000183,0.8099,0.6186,0.2446
trust,0.2,43,10,0.5345,0.000176,0.8092,0.6133,0.2302
trust,0.2,43,11,0.5221,0.000168,0.8204,0.6336,0.223
trust,0.2,43,12,0.5121,0.000159,0.8204,0.6277,0.2374
trust,0.2,43,13,0.4947,0.000149,0.819,0.6338,0.1942
trust,0.2,43,14,0.4845,0.000139,0.8183,0.6577,0.2302
trust,0.2,43,15,0.4739,0.000128,0.8155,0.6456,0.2302
trust,0.2,43,16,0.4651,0.000116,0.8155,0.6509,0.2302
trust,0.2,43,17,0.463,0.000105,0.8099,0.6265,0.2734
trust,0.2,43,18,0.4492,9.35e-05,0.812,0.6312,0.2374
trust,0.2,43,19,0.4403,8.23e-05,0.8148,0.6547,0.2266
trust,0.2,43,20,0.4364,7.13e-05,0.8141,0.6368,0.2446
trust,0.2,43,21,0.4328,6.09e-05,0.8113,0.627,0.2626
trust,0.2,43,22,0.4257,5.1e-05,0.8127,0.6435,0.2734
trust,0.2,43,23,0.4218,4.2e-05,0.8106,0.6375,0.259
trust,0.2,43,24,0.4212,3.39e-05,0.8148,0.6459,0.2734
trust,0.2,43,25,0.4183,2.68e-05,0.8141,0.6451,0.2698
trust,0.2,43,26,0.4265,2.09e-05,0.8169,0.6498,0.277
trust,0.2,43,27,0.4232,1.62e-05,0.8162,0.65,0.2698
trust,0.2,43,28,0.4323,1.28e-05,0.8155,0.6478,0.2662
trust,0.2,43,29,0.4325,1.07e-05,0.8148,0.6484,0.2698
trust,0.2,43,30,0.4432,1e-05,0.8127,0.6437,0.2662
